variable,name,description,behaviour,computed_at_runtime_or_static
entity.relations.counts.by_kind.one_to_many,relation count one_to_many,Number of one_to_many relations.,Number.,computed_runtime
entity.relations.counts.by_kind.one_to_many,relation count one_to_many,Number of one_to_many relations.,Number.,computed_runtime
entity.relations.counts.by_kind.many_to_one,relation count many_to_one,Number of many_to_one relations.,Number.,computed_runtime
entity.relations.counts.by_kind.many_to_many,relation count many_to_many,Number of many_to_many relations.,Number.,computed_runtime
relation.key,relation key,Canonical relation key.,Scalar string inside relation loops.,static
relation.kind,relation kind,"Relation kind, e.g. one_to_many or many_to_one.",Scalar string.,static
relation.cascade,relation cascade,Whether relation cascades operations.,Boolean from config/default.,static
relation.on_delete,relation on delete,on_delete behavior such as CASCADE.,Scalar string or null.,static
relation.raw,relation raw config,Original relation config.,Escape hatch.,static
relation.local_field,relation local field,Resolved local field context if available.,FieldContext object or null.,computed_runtime
relation.remote_field,relation remote field,Resolved remote field context if available.,FieldContext object or unresolved object.,computed_runtime
relation.fields.local,relation fields local,Alias to relation.local_field.,FieldContext or null.,computed_runtime
relation.fields.remote,relation fields remote,Alias to relation.remote_field.,FieldContext or unresolved object.,computed_runtime
relation.flags.is_one_to_many,relation flag is_one_to_many,Boolean flag: is one to many.,Boolean convenience flag.,computed_runtime
relation.flags.is_many_to_one,relation flag is_many_to_one,Boolean flag: is many to one.,Boolean convenience flag.,computed_runtime
relation.flags.is_many_to_many,relation flag is_many_to_many,Boolean flag: is many to many.,Boolean convenience flag.,computed_runtime
relation.flags.has_cascade,relation flag has_cascade,Boolean flag: has cascade.,Boolean convenience flag.,computed_runtime
relation.flags.has_on_delete,relation flag has_on_delete,Boolean flag: has on delete.,Boolean convenience flag.,computed_runtime
relation.flags.is_resolved,relation flag is_resolved,Boolean flag: is resolved.,Boolean convenience flag.,computed_runtime
relation.flags.is_unresolved,relation flag is_unresolved,Boolean flag: is unresolved.,Boolean convenience flag.,computed_runtime
relation.flags.has_local_field,relation flag has_local_field,Boolean flag: has local field.,Boolean convenience flag.,computed_runtime
relation.flags.has_remote_field,relation flag has_remote_field,Boolean flag: has remote field.,Boolean convenience flag.,computed_runtime
relation.flags.remote_field_unresolved,relation flag remote_field_unresolved,Boolean flag: remote field unresolved.,Boolean convenience flag.,computed_runtime
entity.indexes.arrays.all,all indexes,All index definitions as loop-safe array.,Array; safe for index loops.,computed_runtime
entity.indexes.arrays.unique,unique indexes,Indexes with unique true.,Array; safe for index loops.,computed_runtime
entity.indexes.arrays.non_unique,non unique indexes,Indexes without unique true.,Array; safe for index loops.,computed_runtime
entity.indexes.arrays.single_field,single field indexes,Indexes containing exactly one field.,Array; safe for index loops.,computed_runtime
entity.indexes.arrays.compound,compound indexes,Indexes containing multiple fields.,Array; safe for index loops.,computed_runtime
entity.indexes.counts.all,index count,Total number of indexes.,Boolean/number convenience value.,computed_runtime
entity.indexes.counts.unique,unique index count,Number of unique indexes.,Boolean/number convenience value.,computed_runtime
entity.indexes.counts.compound,compound index count,Number of compound indexes.,Boolean/number convenience value.,computed_runtime
entity.indexes.flags.has_indexes,has indexes,Whether entity has any indexes.,Boolean/number convenience value.,computed_runtime
entity.indexes.flags.has_unique_indexes,has unique indexes,Whether entity has unique indexes.,Boolean/number convenience value.,computed_runtime
entity.indexes.flags.has_compound_indexes,has compound indexes,Whether entity has compound indexes.,Boolean/number convenience value.,computed_runtime
index.index,index ordinal,Zero-based index ordinal in entity.indexes.arrays.all.,Number.,computed_runtime
index.number,index number,One-based index number for names or comments.,Number.,computed_runtime
index.name,index name,Computed stable index name.,String computed from entity and fields unless supplied.,computed_runtime
index.unique,index unique,Whether this index is unique.,Boolean; defaults false.,static
index.fields.arrays.all,index fields all,Fields included in this index.,Array of FieldContext; safe for loops.,computed_runtime
index.fields.counts.all,index field count,Number of fields in index.,Number.,computed_runtime
index.fields.names.snake_case,index field names snake case,Joined snake_case field names for index naming.,Computed string.,computed_runtime
index.fields.names.constant_case,index field names constant case,Joined CONSTANT_CASE field names for constants.,Computed string.,computed_runtime
index.raw,index raw config,Original index config.,Escape hatch.,static
index.flags.is_unique,index flag is_unique,Boolean flag: is unique.,Boolean convenience flag.,computed_runtime
index.flags.is_non_unique,index flag is_non_unique,Boolean flag: is non unique.,Boolean convenience flag.,computed_runtime
index.flags.is_single_field,index flag is_single_field,Boolean flag: is single field.,Boolean convenience flag.,computed_runtime
index.flags.is_compound,index flag is_compound,Boolean flag: is compound.,Boolean convenience flag.,computed_runtime
index.flags.has_fields,index flag has_fields,Boolean flag: has fields.,Boolean convenience flag.,computed_runtime
entity.checks.arrays.all,all checks,All check/validation rules as loop-safe array.,Array; safe for check loops.,computed_runtime
entity.checks.arrays.by_rule.not_empty,not empty checks,Checks with rule.type notEmpty.,Array; safe for check loops.,computed_runtime
entity.checks.arrays.by_rule.regex,regex checks,Checks with rule.type regex.,Array; safe for check loops.,computed_runtime
entity.checks.arrays.with_pattern,checks with pattern,Checks defining regex pattern.,Array; safe for check loops.,computed_runtime
entity.checks.counts.all,check count,Total checks count.,Boolean/number convenience value.,computed_runtime
entity.checks.flags.has_checks,has checks,Whether entity has checks.,Boolean/number convenience value.,computed_runtime
entity.checks.flags.has_regex_checks,has regex checks,Whether entity has regex checks.,Boolean/number convenience value.,computed_runtime
entity.checks.counts.by_rule.not_empty,check count not_empty,Number of checks of rule type notEmpty.,Number.,computed_runtime
entity.checks.counts.by_rule.regex,check count regex,Number of checks of rule type regex.,Number.,computed_runtime
entity.checks.counts.by_rule.not_empty,check count not_empty,Number of checks of rule type not_empty.,Number.,computed_runtime
entity.checks.counts.by_rule.regex,check count regex,Number of checks of rule type regex.,Number.,computed_runtime
check.name,check name,Check name from config.,Scalar string.,static
check.rule.type,check rule type,"Type of check rule, e.g. notEmpty or regex.",Scalar string.,static
check.rule.field,check rule field,Field reference for check rule when provided.,Object or field context depending on resolution.,static
check.rule.pattern,check rule pattern,Regex pattern for regex checks.,String or null.,static
check.raw,check raw config,Original check config.,Escape hatch.,static
check.flags.is_not_empty,check flag is_not_empty,Boolean flag: is not empty.,Boolean convenience flag.,computed_runtime
check.flags.is_regex,check flag is_regex,Boolean flag: is regex.,Boolean convenience flag.,computed_runtime
check.flags.has_field,check flag has_field,Boolean flag: has field.,Boolean convenience flag.,computed_runtime
check.flags.has_pattern,check flag has_pattern,Boolean flag: has pattern.,Boolean convenience flag.,computed_runtime
entity.transitions.arrays.all,all transitions,All state machine transition configs.,Array/number/boolean depending on suffix.,computed_runtime
entity.transitions.counts.all,transition config count,Number of transition configs.,Array/number/boolean depending on suffix.,computed_runtime
entity.transitions.flags.has_transitions,has transitions,Whether entity has transition configs.,Array/number/boolean depending on suffix.,computed_runtime
entity.workflows.arrays.all,all workflows,All workflow configs.,Array; empty in the provided examples.,static
entity.workflows.counts.all,workflow count,Number of workflows.,Number.,computed_runtime
entity.workflows.flags.has_workflows,has workflows,Whether entity has workflows.,Boolean.,computed_runtime
transition.initial,transition initial state,Initial state for this state machine.,Scalar string.,static
transition.terminal.arrays.all,transition terminal states,Terminal states for this transition config.,Array of strings; safe for loops.,static
transition.states.arrays.all,transition states,All known states derived from transitions keys and terminals.,Array of state contexts.,computed_runtime
transition.edges.arrays.all,transition edges,All allowed state transitions flattened into from/to edges.,Array; safe for graph or transition method generation.,computed_runtime
transition.map,transition map,Raw transitions object mapping from state to allowed states.,Map/object; direct lookup only.,static
transition.raw,transition raw config,Original transition config.,Escape hatch.,static
transition.counts.states,transition state count,Number of states.,Number.,computed_runtime
transition.counts.edges,transition edge count,Number of allowed edges.,Number.,computed_runtime
state.key,key,State context variable state.key.,Available inside transition.states.arrays.all loops.,computed_runtime
state.names.snake_case,snake case,State context variable state.names.snake_case.,Available inside transition.states.arrays.all loops.,computed_runtime
state.names.constant_case,constant case,State context variable state.names.constant_case.,Available inside transition.states.arrays.all loops.,computed_runtime
state.flags.is_initial,is initial,State context variable state.flags.is_initial.,Available inside transition.states.arrays.all loops.,computed_runtime
state.flags.is_terminal,is terminal,State context variable state.flags.is_terminal.,Available inside transition.states.arrays.all loops.,computed_runtime
state.to.arrays.all,all,State context variable state.to.arrays.all.,Available inside transition.states.arrays.all loops.,computed_runtime
state.to.counts.all,all,State context variable state.to.counts.all.,Available inside transition.states.arrays.all loops.,computed_runtime
edge.from,from,Transition edge context variable edge.from.,Available inside transition.edges.arrays.all loops.,computed_runtime
edge.to,to,Transition edge context variable edge.to.,Available inside transition.edges.arrays.all loops.,computed_runtime
edge.names.snake_case,snake case,Transition edge context variable edge.names.snake_case.,Available inside transition.edges.arrays.all loops.,computed_runtime
edge.names.constant_case,constant case,Transition edge context variable edge.names.constant_case.,Available inside transition.edges.arrays.all loops.,computed_runtime
entity.options.audit,entity option audit,Option audit from entity config.,Static boolean/config value with normalized defaults.,static
entity.options.flags.has_audit,has option audit,Whether option audit is enabled.,Boolean convenience flag.,computed_runtime
entity.options.soft_delete,entity option soft_delete,Option softDelete from entity config.,Static boolean/config value with normalized defaults.,static
entity.options.flags.has_soft_delete,has option soft_delete,Whether option softDelete is enabled.,Boolean convenience flag.,computed_runtime
entity.options.soft_delete,entity option soft_delete,Option soft_delete from entity config.,Static boolean/config value with normalized defaults.,static
entity.options.flags.has_soft_delete,has option soft_delete,Whether option soft_delete is enabled.,Boolean convenience flag.,computed_runtime
entity.options.timestamps,entity option timestamps,Option timestamps from entity config.,Static boolean/config value with normalized defaults.,static
entity.options.flags.has_timestamps,has option timestamps,Whether option timestamps is enabled.,Boolean convenience flag.,computed_runtime
entity.options.timestamps.fields.created_at,created_at,Derived conventional field name for entity.options.timestamps.fields.created_at.,Computed only when relevant option is enabled.,computed_runtime
entity.options.timestamps.fields.updated_at,updated_at,Derived conventional field name for entity.options.timestamps.fields.updated_at.,Computed only when relevant option is enabled.,computed_runtime
entity.options.audit.fields.created_by,created_by,Derived conventional field name for entity.options.audit.fields.created_by.,Computed only when relevant option is enabled.,computed_runtime
entity.options.audit.fields.updated_by,updated_by,Derived conventional field name for entity.options.audit.fields.updated_by.,Computed only when relevant option is enabled.,computed_runtime
entity.options.soft_delete.fields.deleted_at,deleted_at,Derived conventional field name for entity.options.soft_delete.fields.deleted_at.,Computed only when relevant option is enabled.,computed_runtime
entity.templates.arrays.by_type.entity,templates by type entity,Templates whose type is entity.,Array; safe for loops.,computed_runtime
entity.templates.counts.by_type.entity,template count by type entity,Number of templates whose type is entity.,Number.,computed_runtime
entity.templates.arrays.by_type.resource,templates by type resource,Templates whose type is resource.,Array; safe for loops.,computed_runtime
entity.templates.counts.by_type.resource,template count by type resource,Number of templates whose type is resource.,Number.,computed_runtime
entity.templates.arrays.by_type.entity,templates by type entity,Templates whose type is entity.,Array; safe for loops.,computed_runtime
entity.templates.counts.by_type.entity,template count by type entity,Number of templates whose type is entity.,Number.,computed_runtime
entity.templates.arrays.by_type.resource,templates by type resource,Templates whose type is resource.,Array; safe for loops.,computed_runtime
entity.templates.counts.by_type.resource,template count by type resource,Number of templates whose type is resource.,Number.,computed_runtime
entity.template_groups.arrays.all,all template groups,All configured template groups.,Array; safe for template loops.,computed_runtime
entity.template_groups.counts.all,template group count,Number of template groups.,Boolean/number convenience value.,computed_runtime
entity.template_groups.flags.has_template_groups,has template groups,Whether any template groups exist.,Boolean/number convenience value.,computed_runtime
entity.templates.arrays.all,all templates,All templates flattened from all groups.,Array; safe for template loops.,computed_runtime
entity.templates.arrays.entity,entity templates,Templates with type entity.,Array; safe for template loops.,computed_runtime
entity.templates.arrays.resource,resource templates,Templates with type resource.,Array; safe for template loops.,computed_runtime
entity.templates.counts.all,template count,Total flattened templates count.,Boolean/number convenience value.,computed_runtime
entity.templates.flags.has_templates,has templates,Whether templates exist.,Boolean/number convenience value.,computed_runtime
template_group.root_dir,template group root dir,Root directory for templates in this group.,Scalar path string.,static
template_group.templates.arrays.all,template group templates,Templates inside this group.,Array; safe for loops.,static
template_group.templates.counts.all,template group template count,Number of templates in this group.,Number.,computed_runtime
template_group.raw,template group raw config,Original template group config.,Escape hatch.,static
template.name,template name,Template key/name such as dto.create or service.,Scalar string.,static
template.type,template type,Template type such as entity or resource.,Scalar string.,static
template.description,template description,Human description of what the template creates.,Scalar string.,static
template.template_path,template path,Path to the .hbs template file.,Scalar path string.,static
template.root_dir,template root dir,Resolved root directory inherited from template group.,Scalar path string.,computed_runtime
template.raw,template raw config,Original template config.,Escape hatch.,static
template.output_folder.arrays.parts,template output folder parts,Output folder parts after template expression resolution.,Array of strings; safe for path joining.,computed_runtime
template.output_folder.raw_parts,template output folder raw parts,Original outputFolder array before rendering expressions.,Array from config.,static
template.output_folder.path,template output folder path,Joined output folder path.,Scalar path string.,computed_runtime
template.file_name.base,template file name base,Base file name expression/value.,Static expression or rendered string depending stage.,static
template.file_name.prefix,template file name prefix,File name prefix.,Static string; may be empty.,static
template.file_name.suffix,template file name suffix,File name suffix.,Static string; may be empty.,static
template.file_name.ext,template file extension,File extension without dot.,Static string.,static
template.file_name.rendered,template rendered file name,Final rendered file name.,Computed from prefix/base/suffix/ext and context.,computed_runtime
template.output.path,template output path,Final full output path for generated file.,Computed from output folder and rendered file name.,computed_runtime
template.output.relative_path,template relative output path,Output path relative to source/output root.,Computed path string.,computed_runtime
template.render.input_path,template render input path,Resolved absolute path to template file.,Computed path string.,computed_runtime
template.render.should_write,template should write,Whether this template should be emitted for the current config.,Boolean; may depend on filters/conditions.,computed_runtime
template.flags.is_entity,template flag is_entity,Boolean flag: is entity.,Boolean convenience flag.,computed_runtime
template.flags.is_resource,template flag is_resource,Boolean flag: is resource.,Boolean convenience flag.,computed_runtime
template.flags.has_prefix,template flag has_prefix,Boolean flag: has prefix.,Boolean convenience flag.,computed_runtime
template.flags.has_suffix,template flag has_suffix,Boolean flag: has suffix.,Boolean convenience flag.,computed_runtime
template.flags.has_description,template flag has_description,Boolean flag: has description.,Boolean convenience flag.,computed_runtime
template.flags.has_output_folder,template flag has_output_folder,Boolean flag: has output folder.,Boolean convenience flag.,computed_runtime
template.flags.has_file_name,template flag has_file_name,Boolean flag: has file name.,Boolean convenience flag.,computed_runtime
template.flags.is_typescript,template flag is_typescript,Boolean flag: is typescript.,Boolean convenience flag.,computed_runtime
template.flags.is_handlebars,template flag is_handlebars,Boolean flag: is handlebars.,Boolean convenience flag.,computed_runtime
render.entity,render entity,The current entity context being rendered.,Object alias to entity for template rendering.,computed_runtime
render.template,render template,The current template context being rendered.,Object alias to template for template-aware templates.,computed_runtime
render.output.path,render output path,Current output file path.,Computed per template render.,computed_runtime
render.output.folder,render output folder,Current output folder.,Computed per template render.,computed_runtime
render.output.file_name,render output file name,Current output file name.,Computed per template render.,computed_runtime
render.flags.is_dry_run,render flag dry run,Whether generation is running in dry-run mode.,Boolean from runtime options.,computed_runtime
render.flags.will_overwrite,render flag will overwrite,Whether target file will overwrite an existing file.,Boolean computed during planning.,computed_runtime
render.flags.exists,render flag exists,Whether target file already exists.,Boolean computed during planning.,computed_runtime
diagnostics.arrays.warnings,diagnostic warnings,Warnings generated while building context.,Array or boolean diagnostic value for inspection/validation.,computed_runtime
diagnostics.arrays.errors,diagnostic errors,Errors generated while building context.,Array or boolean diagnostic value for inspection/validation.,computed_runtime
diagnostics.flags.has_warnings,has warnings,Whether context has warnings.,Array or boolean diagnostic value for inspection/validation.,computed_runtime
diagnostics.flags.has_errors,has errors,Whether context has errors.,Array or boolean diagnostic value for inspection/validation.,computed_runtime
diagnostics.unresolved_relations.arrays.all,unresolved relations diagnostics,"Unresolved relation details, including errors like constructor resolution failure.",Array or boolean diagnostic value for inspection/validation.,computed_runtime
diagnostics.template_variables.arrays.used,used template variables,Variables detected in a template during validation.,Array or boolean diagnostic value for inspection/validation.,computed_runtime
diagnostics.template_variables.arrays.unknown,unknown template variables,Variables used by template but not promised by context contract.,Array or boolean diagnostic value for inspection/validation.,computed_runtime
registry.entities.arrays.all,registry all entities,All entity contexts loaded for a generation run.,Registry/group context for multi-entity templates.,computed_runtime
registry.entities.arrays.by_group,registry entities by group,Loop-safe group buckets containing entities.,Registry/group context for multi-entity templates.,computed_runtime
registry.entities.counts.all,registry entity count,Number of loaded entity contexts.,Registry/group context for multi-entity templates.,computed_runtime
registry.groups.arrays.all,registry groups,All groups discovered from entity configs.,Registry/group context for multi-entity templates.,computed_runtime
registry.groups.counts.all,registry group count,Number of groups.,Registry/group context for multi-entity templates.,computed_runtime
group.key,group key,Current group key inside group loops.,Registry/group context for multi-entity templates.,computed_runtime
group.names.snake_case,group names snake case,snake_case group name.,Registry/group context for multi-entity templates.,computed_runtime
group.entities.arrays.all,group entities,Entities belonging to the current group.,Registry/group context for multi-entity templates.,computed_runtime
group.entities.counts.all,group entity count,Number of entities in current group.,Registry/group context for multi-entity templates.,computed_runtime
